,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
1007,saburo yoshida (earth-616),public identity,good characters,None,None,male characters,deceased characters,2.0,jan-70,1970.0
1008,carlton sanders (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,6.0,feb-84,1984.0
1009,t (earth-616),secret identity,bad characters,None,black hair,female characters,living characters,3.0,feb-01,2001.0
1010,mark cadmon (earth-616),secret identity,good characters,None,red hair,male characters,living characters,12.0,oct-80,1980.0
1011,samuel holden (earth-616),no dual identity,good characters,None,black hair,male characters,living characters,13.0,dec-76,1976.0
1012,buck cashman (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,18.0,jan-88,1988.0
1013,masque (morlock) (earth-616),secret identity,None,red eyes,bald,male characters,living characters,52.0,may-83,1983.0
1014,executioner (crazy gang) (earth-616),None,bad characters,None,None,male characters,living characters,13.0,apr-84,1984.0
1015,zefra (earth-616),secret identity,good characters,None,black hair,female characters,living characters,9.0,jun-94,1994.0
1016,siena blaze (earth-616),public identity,bad characters,brown eyes,blond hair,female characters,deceased characters,29.0,jan-93,1993.0
1017,rex carpenter (earth-616),no dual identity,None,None,black hair,male characters,living characters,9.0,dec-72,1972.0
1018,roger cooper (earth-616),public identity,good characters,None,black hair,male characters,living characters,27.0,oct-76,1976.0
1019,sheila mason (earth-616),public identity,good characters,None,black hair,female characters,living characters,1.0,nov-40,1940.0
1020,jacob nash (earth-616),None,None,brown eyes,black hair,male characters,living characters,6.0,jun-02,2002.0
1021,joanna cargill (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,121.0,may-86,1986.0
1022,fugue (tektos) (earth-616),secret identity,bad characters,None,None,female characters,living characters,2.0,nov-93,1993.0
1023,mariah ellenthorpe (earth-616),None,bad characters,None,None,female characters,living characters,2.0,feb-99,1999.0
1024,amanda chaney (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,deceased characters,13.0,oct-94,1994.0
1025,malik tarcel (earth-616),secret identity,good characters,None,black hair,male characters,living characters,8.0,dec-08,2008.0
1026,aloysius vault (earth-616),None,bad characters,None,black hair,male characters,living characters,4.0,dec-73,1973.0
1027,rick davis (earth-616),public identity,good characters,None,brown hair,male characters,living characters,4.0,nov-54,1954.0
1028,bill dawson (earth-616),no dual identity,good characters,None,red hair,male characters,living characters,5.0,sep-08,2008.0
1029,thoth-amon (earth-616),public identity,bad characters,None,None,male characters,living characters,14.0,jul-71,1971.0
1030,duane wilson (earth-616),public identity,good characters,None,brown hair,male characters,deceased characters,1.0,feb-70,1970.0
1031,william kimpton (earth-616),secret identity,good characters,green eyes,bald,male characters,deceased characters,8.0,apr-99,1999.0
1032,joshua utler (earth-616),no dual identity,neutral characters,blue eyes,white hair,male characters,deceased characters,5.0,None,None
1033,beldame (earth-616),secret identity,bad characters,None,purple hair,female characters,deceased characters,3.0,aug-00,2000.0
1034,benjamin loufitz (earth-616),no dual identity,bad characters,None,brown hair,male characters,deceased characters,1.0,mar-45,1945.0
1035,kenjiro fujikawa (earth-616),no dual identity,None,None,white hair,male characters,living characters,2.0,may-98,1998.0
1036,anthony davis (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,16.0,sep-77,1977.0
1037,stan finley (earth-616),no dual identity,None,brown eyes,brown hair,male characters,living characters,2.0,apr-05,2005.0
1038,goth (earth-616),secret identity,bad characters,black eyes,black hair,male characters,deceased characters,2.0,sep-00,2000.0
1039,john dolan (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,living characters,1.0,may-49,1949.0
1040,en sabah nur (earth-616),public identity,bad characters,red eyes,black hair,male characters,deceased characters,160.0,jun-86,1986.0
1041,marcus andrews (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,5.0,mar-99,1999.0
1042,gordon savinski (earth-616),public identity,bad characters,None,black hair,male characters,living characters,3.0,aug-96,1996.0
1043,gris gris (earth-616),secret identity,neutral characters,brown eyes,black hair,male characters,living characters,7.0,jan-95,1995.0
1044,tomas delgado (earth-616),no dual identity,good characters,None,red hair,male characters,living characters,5.0,dec-92,1992.0
1045,madeline watson (earth-616),None,None,None,blond hair,female characters,deceased characters,8.0,dec-84,1984.0
1046,sidrat-al-muntah (earth-616),secret identity,good characters,None,bald,male characters,living characters,5.0,sep-94,1994.0
1047,arno (earth-616),no dual identity,bad characters,None,black hair,male characters,living characters,2.0,dec-76,1976.0
1048,brigitte lahti (earth-616),None,bad characters,None,blond hair,female characters,deceased characters,1.0,may-90,1990.0
1049,drew daniels (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,33.0,dec-76,1976.0
1050,filene abdol (earth-616),public identity,neutral characters,blue eyes,black hair,female characters,deceased characters,1.0,oct-85,1985.0
1051,xorak (earth-616),secret identity,None,white eyes,None,male characters,deceased characters,3.0,jun-67,1967.0
1052,arturo falcone (earth-616),no dual identity,neutral characters,None,black hair,male characters,living characters,2.0,aug-04,2004.0
1053,shialmar (earth-616),None,bad characters,brown eyes,black hair,female characters,deceased characters,4.0,oct-80,1980.0
1054,kingmaker (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,2.0,sep-09,2009.0
1055,kthara (earth-616),secret identity,bad characters,red eyes,no hair,female characters,living characters,3.0,oct-75,1975.0
1056,max (cameraman) (earth-616),None,None,None,None,male characters,living characters,1.0,aug-68,1968.0
1057,liberty girl (beverly) (earth-616),secret identity,good characters,None,blond hair,female characters,deceased characters,3.0,nov-00,2000.0
1058,juan meroz (earth-616),None,None,brown eyes,black hair,male characters,deceased characters,8.0,oct-66,1966.0
1059,abrams (earth-616),no dual identity,None,None,blond hair,male characters,living characters,1.0,may-88,1988.0
1060,ted larkin (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,1.0,oct-88,1988.0
1061,arsenic (element) (earth-616),None,bad characters,None,no hair,None,living characters,2.0,sep-97,1997.0
1062,aaidan blomfield (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,2.0,jul-96,1996.0
1063,lord ogre (earth-616),secret identity,bad characters,None,bald,male characters,deceased characters,4.0,None,None
1064,bellam (earth-616),secret identity,good characters,red eyes,black hair,male characters,living characters,10.0,apr-94,1994.0
1065,desmond charne (earth-616),public identity,bad characters,blue eyes,None,male characters,living characters,22.0,may-76,1976.0
1066,attuma (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,living characters,94.0,dec-64,1964.0
1067,nils styger (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,20.0,feb-97,1997.0
1068,eagle (tough kid squad) (earth-616),public identity,good characters,None,red hair,male characters,living characters,1.0,mar-42,1942.0
1069,abner jonas (earth-616),None,bad characters,blue eyes,brown hair,male characters,living characters,6.0,oct-65,1965.0
1070,mary macpherran (earth-616),secret identity,bad characters,blue eyes,strawberry blond hair,female characters,living characters,108.0,jul-84,1984.0
1071,pink lady (earth-616),secret identity,None,red eyes,pink hair,female characters,living characters,4.0,None,None
1072,hubie edge (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,2.0,jan-06,2006.0
1073,eric karlin (earth-616),public identity,bad characters,None,brown hair,male characters,deceased characters,1.0,jan-42,1942.0
1074,josephine pulaski (earth-616),public identity,bad characters,brown eyes,brown hair,female characters,living characters,8.0,jan-96,1996.0
1075,grand vizier (polemachus) (earth-616),None,good characters,brown eyes,bald,male characters,living characters,9.0,apr-70,1970.0
1076,fireflyte (earth-616),public identity,good characters,magenta eyes,magenta hair,female characters,living characters,21.0,sep-81,1981.0
1077,murderous lion (earth-616),None,neutral characters,None,None,male characters,living characters,5.0,oct-09,2009.0
1078,tithe collector (earth-616),None,bad characters,None,None,male characters,living characters,7.0,dec-93,1993.0
1079,agent of hell (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,1.0,jun-74,1974.0
1080,packrat pete (earth-616),public identity,good characters,None,grey hair,male characters,living characters,6.0,jun-50,1950.0
1081,skornn (earth-616),secret identity,bad characters,blue eyes,no hair,male characters,living characters,6.0,oct-04,2004.0
1082,lubyev (earth-616),secret identity,bad characters,None,red hair,female characters,living characters,3.0,jun-02,2002.0
1083,cassie dolan (earth-616),public identity,good characters,None,blond hair,female characters,living characters,2.0,apr-97,1997.0
1084,paul jansen (earth-616),public identity,good characters,None,None,male characters,living characters,9.0,jul-81,1981.0
1085,threadgold (earth-616),None,bad characters,None,grey hair,male characters,living characters,3.0,feb-95,1995.0
1086,korea katie (earth-616),public identity,bad characters,None,black hair,female characters,living characters,3.0,may-53,1953.0
1087,zzzax (earth-616),public identity,bad characters,None,no hair,None,living characters,32.0,aug-73,1973.0
1088,raymond dawson (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,49.0,sep-40,1940.0
1089,richard palance (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,living characters,7.0,feb-07,2007.0
1090,tryx (earth-616),no dual identity,good characters,None,brown hair,male characters,living characters,4.0,dec-73,1973.0
1091,korath-thak (earth-616),public identity,bad characters,blue eyes,bald,male characters,deceased characters,18.0,mar-92,1992.0
1092,gerald stone (earth-616),None,bad characters,blue eyes,blond hair,male characters,living characters,9.0,nov-88,1988.0
1093,jared kurtz (earth-616),public identity,bad characters,None,blond hair,male characters,deceased characters,6.0,feb-77,1977.0
1094,toru tarakoto (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,4.0,oct-70,1970.0
1095,amazon (s.h.e.) (earth-616),secret identity,good characters,None,blond hair,female characters,living characters,3.0,dec-00,2000.0
1096,webwing (earth-616),public identity,neutral characters,black eyes,None,None,living characters,3.0,may-82,1982.0
1097,pyre (damocles foundation) (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,dec-98,1998.0
1098,hope abbott (earth-616),secret identity,good characters,hazel eyes,brown hair,female characters,living characters,70.0,jun-05,2005.0
1099,falzone (earth-616),public identity,None,None,brown hair,male characters,deceased characters,2.0,apr-02,2002.0
1100,ginaldo (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,2.0,dec-41,1941.0
1101,thomas agar (earth-616),None,None,None,grey hair,male characters,living characters,1.0,nov-79,1979.0
1102,annie richardson (earth-616),no dual identity,neutral characters,None,brown hair,female characters,deceased characters,4.0,jul-81,1981.0
1103,jack prentice (earth-616),public identity,bad characters,None,None,male characters,deceased characters,1.0,dec-45,1945.0
1104,charles anderson (earth-616),public identity,None,None,None,male characters,living characters,4.0,sep-85,1985.0
1105,charles edison (earth-616),secret identity,None,None,black hair,male characters,living characters,3.0,aug-89,1989.0
1106,cruz bushmaster (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,2.0,apr-92,1992.0
1107,ledge (earth-616),None,good characters,None,black hair,male characters,living characters,12.0,sep-77,1977.0
1108,karl lubbings (earth-616),public identity,bad characters,None,None,male characters,deceased characters,1.0,apr-73,1973.0
1109,commander kornstalk (earth-616),public identity,bad characters,None,black hair,male characters,deceased characters,1.0,nov-42,1942.0
1110,marvin hoffman (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,8.0,jul-01,2001.0
1111,bill gregory (earth-616),no dual identity,neutral characters,None,orange hair,male characters,living characters,28.0,nov-50,1950.0
1112,willis gottfried (earth-616),None,None,blue eyes,blond hair,male characters,living characters,2.0,jul-98,1998.0
1113,that which endures (earth-616),secret identity,neutral characters,None,no hair,None,living characters,4.0,aug-89,1989.0
1114,nick bruno (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,jan-40,1940.0
1115,hodiak (earth-616),None,good characters,None,None,male characters,living characters,9.0,oct-80,1980.0
1116,henry hawk (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,26.0,oct-65,1965.0
1117,staak (earth-616),None,bad characters,None,black hair,female characters,living characters,3.0,oct-02,2002.0
1118,priscilla lyons (earth-616),secret identity,None,blue eyes,strawberry blond hair,female characters,living characters,21.0,jan-87,1987.0
1119,delmurio (earth-616),public identity,None,one eye,orange hair,male characters,deceased characters,7.0,aug-85,1985.0
1120,sofia alvarez (earth-616),public identity,good characters,brown eyes,brown hair,female characters,living characters,2.0,oct-10,2010.0
1121,sylvia blandings (earth-616),public identity,good characters,None,None,female characters,living characters,1.0,dec-62,1962.0
1122,von batch (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,apr-43,1943.0
1123,maurice fortuit (earth-616),secret identity,good characters,None,red hair,male characters,deceased characters,2.0,oct-94,1994.0
1124,casper whimpley (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,jan-80,1980.0
1125,elaine mclaughlin (earth-616),secret identity,bad characters,green eyes,red hair,female characters,deceased characters,11.0,jan-70,1970.0
1126,wilhelm lohmer (earth-616),secret identity,None,blue eyes,blond hair,male characters,living characters,43.0,jun-75,1975.0
1127,mastermind (computer) (earth-616),secret identity,bad characters,gold eyes,no hair,male characters,living characters,29.0,dec-76,1976.0
1128,strongman (spider-squad) (earth-616),None,None,None,None,None,living characters,1.0,aug-77,1977.0
1129,lester deeks (earth-616),public identity,bad characters,None,black hair,male characters,deceased characters,1.0,feb-40,1940.0
1130,dismember (earth-616),secret identity,bad characters,yellow eyes,no hair,male characters,living characters,3.0,jan-97,1997.0
1131,gracie gamble (earth-616),secret identity,good characters,None,grey hair,female characters,living characters,3.0,oct-96,1996.0
1132,conrad mack (earth-616),secret identity,bad characters,red eyes,no hair,male characters,living characters,13.0,jan-92,1992.0
1133,chi-chee (earth-616),public identity,good characters,black eyes,brown hair,male characters,living characters,5.0,oct-99,1999.0
1134,eric brooks (doppelganger) (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,5.0,sep-76,1976.0
1135,sally (barmaid) (earth-616),public identity,None,red eyes,black hair,female characters,living characters,2.0,nov-86,1986.0
1136,sentinel 4 (earth-616),secret identity,bad characters,None,None,None,living characters,2.0,dec-65,1965.0
1137,timmy (earth-616),public identity,None,None,black hair,male characters,living characters,4.0,oct-66,1966.0
1138,time-buoy number 6-c (earth-616),secret identity,neutral characters,None,None,None,living characters,5.0,aug-81,1981.0
1139,harrison thompson (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,deceased characters,15.0,dec-76,1976.0
1140,emrys killebrew (earth-616),public identity,neutral characters,blue eyes,grey hair,male characters,deceased characters,16.0,aug-94,1994.0
1141,lao-chung (earth-616),public identity,good characters,None,white hair,male characters,living characters,1.0,jun-45,1945.0
1142,borgo (earth-616),None,neutral characters,None,None,male characters,deceased characters,2.0,aug-69,1969.0
1143,nokomis (earth-616),public identity,good characters,None,black hair,female characters,living characters,2.0,jan-51,1951.0
1144,danton vayla (earth-616),no dual identity,bad characters,None,bald,male characters,deceased characters,2.0,oct-74,1974.0
1145,eugene stivak (earth-616),None,bad characters,None,bald,male characters,living characters,14.0,sep-77,1977.0
1146,weezhil (earth-616),None,bad characters,None,brown hair,male characters,living characters,3.0,jun-74,1974.0
1147,dawn middlebury (earth-616),None,bad characters,None,strawberry blond hair,female characters,living characters,2.0,mar-86,1986.0
1148,doctor yesterday (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,5.0,jul-94,1994.0
1149,stretch (earth-616),secret identity,neutral characters,hazel eyes,brown hair,male characters,living characters,9.0,sep-05,2005.0
1150,bradley manning (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,1.0,sep-44,1944.0
1151,john skulinowski (earth-616),secret identity,good characters,None,None,male characters,living characters,2.0,nov-00,2000.0
1152,morgan le fay (earth-616),no dual identity,bad characters,green eyes,purple hair,female characters,living characters,65.0,may-55,1955.0
1153,carbon (human) (earth-616),None,bad characters,None,None,None,living characters,2.0,oct-79,1979.0
1154,charlie (earth-616),public identity,None,None,brown hair,male characters,living characters,1.0,oct-80,1980.0
1155,killer dawson (earth-616),public identity,bad characters,None,black hair,male characters,living characters,2.0,dec-42,1942.0
1156,man-beast (earth-616),secret identity,bad characters,red eyes,brown hair,male characters,living characters,62.0,nov-66,1966.0
1157,ridondo (earth-616),public identity,good characters,None,blond hair,male characters,living characters,31.0,jun-71,1971.0
1158,oldow (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,jan-42,1942.0
1159,mister six (earth-616),secret identity,bad characters,None,None,male characters,living characters,4.0,oct-73,1973.0
1160,zippermouth (vincent) (earth-616),None,bad characters,None,None,male characters,living characters,5.0,jun-04,2004.0
1161,matthew malloy (earth-616),no dual identity,neutral characters,brown eyes,brown hair,male characters,living characters,2.0,None,None
1162,tigerman (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,2.0,sep-40,1940.0
1163,zartros (earth-616),None,good characters,None,brown hair,male characters,living characters,1.0,aug-76,1976.0
1164,bi-beast (earth-616),public identity,bad characters,black eyes,no hair,male characters,deceased characters,8.0,nov-73,1973.0
1165,carrion crow (earth-616),secret identity,bad characters,red eyes,None,male characters,deceased characters,2.0,feb-11,2011.0
1166,patricia tilby (earth-616),public identity,good characters,blue eyes,black hair,female characters,living characters,93.0,aug-86,1986.0
1167,nikita khrushchev (earth-616),public identity,bad characters,None,bald,male characters,deceased characters,14.0,sep-62,1962.0
1168,aurora poule (earth-616),no dual identity,None,None,black hair,female characters,living characters,2.0,dec-92,1992.0
1169,capricorn (android) (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,oct-86,1986.0
1170,mroht (earth-616),secret identity,good characters,None,no hair,male characters,living characters,10.0,aug-96,1996.0
1171,jacques laval (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,feb-42,1942.0
1172,zahgurim (earth-616),None,bad characters,white eyes,no hair,None,living characters,2.0,mar-94,1994.0
1173,brokk (dwarf) (earth-616),public identity,good characters,brown eyes,bald,male characters,living characters,3.0,nov-83,1983.0
1174,lorna dane (earth-616),secret identity,good characters,green eyes,green hair,female characters,living characters,433.0,oct-68,1968.0
1175,emmael (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,5.0,oct-07,2007.0
1176,dragonwing (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,2.0,jul-99,1999.0
1177,adolphus (earth-616),secret identity,None,None,None,male characters,living characters,5.0,jul-04,2004.0
1178,morgan le fay (robot) (earth-616),None,bad characters,None,None,female characters,living characters,2.0,mar-76,1976.0
1179,robert hagon (earth-616),public identity,None,None,black hair,male characters,living characters,4.0,mar-93,1993.0
1180,garth (other realm) (earth-616),no dual identity,good characters,None,blond hair,male characters,living characters,4.0,jul-75,1975.0
1181,slug gundy (earth-616),public identity,bad characters,None,black hair,male characters,deceased characters,1.0,jun-42,1942.0
1182,carl von brummel (earth-616),public identity,bad characters,None,bald,male characters,deceased characters,1.0,jun-44,1944.0
1183,ignacio alvarez (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,2.0,oct-10,2010.0
1184,donald callahan (earth-616),secret identity,bad characters,white eyes,no hair,male characters,living characters,23.0,apr-00,2000.0
1185,irina clayton (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,5.0,dec-01,2001.0
1186,leoninus (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,3.0,oct-80,1980.0
1187,sablat (earth-616),public identity,good characters,None,black hair,male characters,living characters,4.0,dec-93,1993.0
1188,burt horowitz (earth-616),secret identity,None,None,bald,male characters,deceased characters,12.0,jul-88,1988.0
1189,xirdal (earth-616),public identity,bad characters,yellow eyes,no hair,female characters,deceased characters,2.0,jan-11,2011.0
1190,sirocco (earth-616),secret identity,None,None,None,male characters,living characters,3.0,aug-91,1991.0
1191,pamela dean (earth-616),public identity,good characters,None,black hair,female characters,living characters,1.0,jun-80,1980.0
1192,tanak valt (earth-616),public identity,None,blue eyes,black hair,male characters,living characters,8.0,mar-79,1979.0
1193,killshot (earth-616),secret identity,bad characters,None,red hair,male characters,living characters,2.0,feb-04,2004.0
1194,tod sultan (earth-616),public identity,bad characters,None,red hair,male characters,deceased characters,1.0,aug-49,1949.0
1195,katherine waynesboro (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,25.0,sep-83,1983.0
1196,solaise (earth-616),public identity,None,blue eyes,blond hair,female characters,living characters,8.0,oct-86,1986.0
1197,ernest scope (earth-616),no dual identity,neutral characters,None,black hair,male characters,living characters,4.0,apr-01,2001.0
1198,huang zhu (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,2.0,oct-93,1993.0
1199,shantal wilsk (earth-616),public identity,good characters,None,black hair,female characters,living characters,15.0,oct-97,1997.0
1200,dagny forrester (earth-616),secret identity,bad characters,green eyes,brown hair,female characters,living characters,3.0,may-91,1991.0
1201,rita wayword (earth-616),secret identity,neutral characters,white eyes,silver hair,female characters,living characters,108.0,sep-85,1985.0
1202,henry camp (earth-616),public identity,bad characters,brown eyes,black hair,male characters,deceased characters,119.0,nov-74,1974.0
1203,krakos (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,5.0,aug-07,2007.0
1204,bludgeon (ucwf) (earth-616),secret identity,bad characters,None,bald,male characters,living characters,4.0,apr-87,1987.0
1205,juan dos rios (earth-616),public identity,good characters,None,black hair,male characters,living characters,1.0,jan-54,1954.0
1206,purple hayes (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,9.0,sep-90,1990.0
1207,hakon (earth-616),no dual identity,bad characters,None,brown hair,male characters,living characters,1.0,dec-84,1984.0
1208,drexel cord (earth-616),no dual identity,neutral characters,None,grey hair,male characters,deceased characters,2.0,jun-68,1968.0
1209,jinku (earth-616),secret identity,bad characters,None,None,male characters,living characters,9.0,may-64,1964.0
1210,karima shapandar (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,62.0,jun-00,2000.0
1211,stephanie gerard (earth-616),None,bad characters,blue eyes,None,female characters,deceased characters,7.0,oct-11,2011.0
1212,franz (dermafree) (earth-616),no dual identity,bad characters,None,black hair,male characters,deceased characters,3.0,jul-04,2004.0
1213,ray morgan (earth-616),None,bad characters,None,brown hair,male characters,living characters,7.0,dec-91,1991.0
1214,sewer man (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,1.0,jun-43,1943.0
1215,hargood wilbur todd wickham (earth-616),None,bad characters,None,red hair,male characters,living characters,7.0,feb-74,1974.0
1216,mr. raven (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,8.0,apr-13,2013.0
1217,alphonse laguardia (earth-616),None,good characters,None,None,male characters,living characters,2.0,None,None
1218,george maxon (earth-616),None,bad characters,None,None,male characters,living characters,4.0,mar-41,1941.0
1219,grimgerta (earth-616),None,good characters,None,None,female characters,living characters,1.0,sep-81,1981.0
1220,fee-lon (earth-616),public identity,None,None,brown hair,male characters,living characters,4.0,mar-77,1977.0
1221,pere kauraka (earth-616),public identity,good characters,None,None,male characters,living characters,1.0,sep-40,1940.0
1222,cosmo (dog) (earth-616),no dual identity,good characters,brown eyes,brown hair,male characters,living characters,39.0,jan-08,2008.0
1223,chuck mcarthur (earth-616),None,bad characters,None,brown hair,male characters,deceased characters,2.0,oct-41,1941.0
1224,leonard gade (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,9.0,apr-40,1940.0
1225,inheritor (earth-616),no dual identity,bad characters,black eyes,no hair,male characters,living characters,3.0,mar-72,1972.0
1226,joe cord (earth-616),public identity,None,None,None,male characters,deceased characters,2.0,nov-74,1974.0
1227,sentinel f (earth-616),secret identity,bad characters,None,None,None,deceased characters,1.0,jan-66,1966.0
1228,lawrence zaxton (demon duplicate) (earth-616),secret identity,None,blue eyes,black hair,male characters,living characters,1.0,aug-63,1963.0
1229,arnaa (earth-616),secret identity,good characters,blue eyes,white hair,male characters,living characters,1.0,feb-73,1973.0
1230,veritina (earth-616),no dual identity,neutral characters,blue eyes,no hair,female characters,deceased characters,2.0,apr-13,2013.0
1231,sixth light (earth-616),no dual identity,neutral characters,None,None,male characters,living characters,2.0,jul-11,2011.0
1232,general whedon (earth-616),public identity,neutral characters,hazel eyes,brown hair,male characters,living characters,2.0,may-12,2012.0
1233,thomas logan (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,deceased characters,12.0,nov-01,2001.0
1234,flame witch (earth-616),secret identity,bad characters,None,red hair,female characters,living characters,1.0,dec-54,1954.0
1235,neil garrett (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,13.0,sep-03,2003.0
1236,billy glow (earth-616),no dual identity,good characters,None,white hair,male characters,deceased characters,1.0,aug-48,1948.0
1237,noah van helsing (earth-616),None,good characters,None,grey hair,male characters,living characters,3.0,dec-04,2004.0
1238,lyan (earth-616),public identity,good characters,green eyes,brown hair,male characters,living characters,9.0,nov-66,1966.0
1239,christopher alleyne (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,2.0,oct-03,2003.0
1240,century (alien) (earth-616),secret identity,good characters,white eyes,white hair,male characters,living characters,41.0,jul-94,1994.0
1241,gouzar (earth-616),no dual identity,bad characters,None,None,male characters,living characters,5.0,dec-12,2012.0
1242,baron togi (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,dec-43,1943.0
1243,mr. borkowski (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,2.0,jan-04,2004.0
1244,hussar (earth-616),secret identity,neutral characters,yellow eyes,blond hair,female characters,living characters,29.0,sep-80,1980.0
1245,peter hunter (earth-616),secret identity,good characters,blue eyes,grey hair,male characters,living characters,42.0,feb-91,1991.0
1246,blasting cap (earth-616),secret identity,None,None,red hair,male characters,living characters,4.0,aug-87,1987.0
1247,doctor snodgrass (earth-616),public identity,None,None,None,female characters,living characters,3.0,jan-89,1989.0
1248,saripha thames (earth-616),None,None,None,None,female characters,living characters,5.0,jun-76,1976.0
1249,zephyrus jones (earth-616),public identity,good characters,green eyes,auburn hair,male characters,living characters,4.0,feb-40,1940.0
1250,green terror (3xs foe) (earth-616),secret identity,bad characters,green eyes,green hair,male characters,living characters,1.0,mar-40,1940.0
1251,doctor strasser (earth-616),public identity,bad characters,None,bald,male characters,deceased characters,1.0,apr-42,1942.0
1252,wal-lah (earth-616),no dual identity,neutral characters,None,None,None,living characters,1.0,oct-39,1939.0
1253,tundra (earth-616),public identity,bad characters,None,None,None,living characters,19.0,aug-83,1983.0
1254,anastasia kravinoff (earth-616),secret identity,bad characters,brown eyes,blond hair,female characters,living characters,33.0,sep-08,2008.0
1255,"nicholas fury, jr. (earth-616)",no dual identity,good characters,one eye,bald,male characters,living characters,70.0,jan-12,2012.0
1256,willis hayworth (earth-616),public identity,bad characters,None,black hair,male characters,living characters,7.0,dec-91,1991.0
1257,frank yarrow (earth-616),secret identity,good characters,None,None,male characters,living characters,1.0,dec-56,1956.0
1258,richard yurocko (earth-616),secret identity,bad characters,None,blond hair,male characters,deceased characters,4.0,may-92,1992.0
1259,somnus (earth-616),public identity,None,None,no hair,None,living characters,2.0,apr-07,2007.0
1260,deborah kinney (earth-616),secret identity,neutral characters,green eyes,black hair,female characters,living characters,7.0,mar-05,2005.0
1261,lokar (earth-616),no dual identity,bad characters,None,black hair,male characters,living characters,1.0,may-64,1964.0
1262,turghol (earth-616),public identity,None,black eyes,black hair,male characters,living characters,7.0,jun-73,1973.0
1263,marjorie brink (earth-616),public identity,good characters,None,brown hair,female characters,living characters,8.0,oct-90,1990.0
1264,allen marc yuric (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,9.0,oct-91,1991.0
1265,julian keller (earth-616),public identity,good characters,blue eyes,black hair,male characters,living characters,179.0,aug-03,2003.0
1266,whiting (earth-616),no dual identity,good characters,None,black hair,male characters,living characters,1.0,jun-46,1946.0
1267,brace (masked raider) (earth-616),None,bad characters,None,None,male characters,living characters,1.0,jan-40,1940.0
1268,dominic tyrone (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,deceased characters,4.0,aug-80,1980.0
1269,bert tacker (earth-616),None,bad characters,None,None,male characters,living characters,2.0,jul-72,1972.0
